,viscosity,horizontal_permeability,k_v_h,porosity,pay_thickness,steam_injection_pressure,steam_injection_rate,,,,,,,,a,b,c,d,e,f,g,h
0,480414.593528795,1660.35910186059,0.213293530369486,25.8473366785327,39.6125148014383,1238.42506192263,2312.15396021948,,169368.170789901,2131.57057187806,,a,0.35,,0.0927846698122683,0.0346924410819737,0.560157246728752,0.845514388268328,0.661574752680075,0.618604352019056,0.793954718287302,0.308189712046151
1,126409.103371313,4970.5679965823,0.660724348185931,33.2505213987553,8.6499278733425,3688.21976655046,416.164901881254,,45856.5016997567,1640940.08487686,,b,0.41,,0.752159938584263,0.695815353455907,0.210868008179279,0.822383995726258,0.622207576256517,0.920275089253821,0.520312046272715,0.636398372323903
2,142191.087499843,3586.80345672996,0.518522891500408,31.189151639323,9.86041023153432,2237.77383589927,486.362783020382,,51052.7135468889,,,c,0.15,,0.774823882764436,0.333940081984996,0.631799830015049,0.550539699040848,0.974619258864721,0.0547067524559784,0.891201807865458,0.739907040587965
3,78802.8039645377,3050.66638991827,0.435219872973257,29.8044626315707,5.61161309772235,1884.45300196445,236.93211305648,,28621.3319783472,,,d,-0.075,,0.799313605228302,0.171776998104035,0.881004882420956,0.605848745671513,0.729571634668419,0.442618511783099,0.770607488258916,0.679709118298624
4,2295090.26924483,5273.75983100207,0.725847855071851,34.4281386902774,197.25670077606,3773.26231140108,14344.1935672109,,809416.200952781,,,e,-0.25,,0.762759575585194,0.157477844789997,0.303440277131482,0.851457392028406,0.703089126616473,0.609790648882823,0.826643217386427,0.555473455563424
5,2074592.79420398,4859.67661100336,0.773136595921641,35.4003016998507,192.431964686258,2756.93900719795,12807.3020574093,,731734.094145886,,,f,-0.15,,0.00980079877700362,0.708175339355468,0.17876991669328,0.859205316366517,0.643235734608854,0.285882568996875,0.019848356123876,0.303817412442092
6,74332.835360368,4719.09576570146,0.588624350436399,31.8020911032022,5.92356693440622,3740.63881102429,243.168541585112,,27464.2619968062,,,g,0.32,,0.99959870915263,0.791563951905279,0.541886976665355,0.264025330214305,0.543064136838468,0.999172912073707,0.711680564573848,0.922977724861273
7,1296226.87190909,3483.16999744416,0.469350321965945,30.0799593484649,118.115953760953,2344.85556209657,7446.76203719987,,457107.02580188,,,,,,0.798349309898766,0.910799671922705,0.0845627839158368,0.680817323789643,0.89851998235948,0.362243202264179,0.579016360958433,0.765792001833231
8,1741758.59935646,3580.71666955192,0.530617017549237,31.4780199812162,156.852416276049,2169.89349204761,10446.7697176688,,614059.591532109,,,,,,0.314854852232022,0.847740784011749,0.434306644483052,0.676459818534384,0.590420730379592,0.21648390414159,0.483728616757074,0.691899819154531
9,5975.71198312548,2422.59199055645,0.325650948113594,27.7201837809245,0.653040205816183,1567.82877790179,35.4804369305438,,2858.74790716176,,,,,,0.0178804884947945,0.445349104697235,0.625266731485172,0.227591764456241,0.0158692352222069,0.601047174616093,0.855453831214208,0.690192772278183
10,1160533.03598393,8022.7453066954,0.964034626996975,38.7179993622238,99.6795232650238,6744.69112990962,6455.49649549309,,410502.264253618,,,,,,0.423592377432385,0.362236362992274,0.981081137158325,0.154232819465353,0.162780885994296,0.479093217894936,0.426779653615885,0.701379235016283
